,Name,Type,Score,Rank,Popularity,Members,URL
115,Liv & Bell,TV (Continuing),5.93,#12349,#13887,136,https://myanimelist.net/anime/29421/Liv___Bell
116,Uchi no Oochopus,TV (Continuing),6.71,#13818,#13927,134,https://myanimelist.net/anime/37002/Uchi_no_Oochopus
117,Teach,TV (Continuing),7.33,#13644,#13981,131,https://myanimelist.net/anime/29425/Teach
118,Beads no Mori no Rabi,TV (Continuing),4.43,#10989,#14053,127,https://myanimelist.net/anime/35697/Beads_no_Mori_no_Rabi
119,Manul no Yuube,TV (Continuing),4.17,#12441,#14146,123,https://myanimelist.net/anime/38776/Manul_no_Yuube
120,Otoppe,TV (Continuing),5.08,#12940,#14258,118,https://myanimelist.net/anime/35372/Otoppe
121,Konigiri-kun,TV (Continuing),5.36,#12216,#14274,117,https://myanimelist.net/anime/35696/Konigiri-kun
122,Keito no Yousei: Knit to Wool,TV (Continuing),5.30,#12059,#14386,111,https://myanimelist.net/anime/35695/Keito_no_Yousei__Knit_to_Wool
123,Oidon to,TV (Continuing),5.09,#12843,#14413,110,https://myanimelist.net/anime/35698/Oidon_to
124,Fuwafuwa Hour: Pui Pui & Muu Muu,TV (Continuing),5.60,#11422,#14499,105,https://myanimelist.net/anime/36506/Fuwafuwa_Hour__Pui_Pui___Muu_Muu
125,Mono-darake!,TV (Continuing),6.13,#12583,#14589,101,https://myanimelist.net/anime/35699/Mono-darake
126,Korogashi-ya no Pun,TV (Continuing),4.82,#12228,#14653,98,https://myanimelist.net/anime/35700/Korogashi-ya_no_Pun
127,Unicorn no Kyupi,TV (Continuing),5.89,#13852,#14702,96,https://myanimelist.net/anime/34990/Unicorn_no_Kyupi
128,Working Boys,TV (Continuing),7.50,#13938,#14791,92,https://myanimelist.net/anime/37343/Working_Boys
129,Ice Kuritarou,TV (Continuing),7.44,#11799,#14842,90,https://myanimelist.net/anime/37951/Ice_Kuritarou
130,Washimo 6th Season,TV (Continuing),6.29,#13911,#14962,84,https://myanimelist.net/anime/37630/Washimo_6th_Season
131,Zhu Zhu Xia: Jing Qiu Xiao Yingxiong,TV (Continuing),5.00,#14123,#15135,74,https://myanimelist.net/anime/38138/Zhu_Zhu_Xia__Jing_Qiu_Xiao_Yingxiong
132,Pakkororin,TV (Continuing),7.75,#12965,#15245,68,https://myanimelist.net/anime/38099/Pakkororin
133,Kkoma Bus Tayo 5,TV (Continuing),5.40,#12175,#15262,67,https://myanimelist.net/anime/38631/Kkoma_Bus_Tayo_5
134,Reizouko no Tsukenosuke!,TV (Continuing),7.60,#13128,#15266,67,https://myanimelist.net/anime/38451/Reizouko_no_Tsukenosuke
135,Capsule Boy 2: Ujuleul Jikyeola,TV (Continuing),4.73,#11071,#15413,58,https://myanimelist.net/anime/39012/Capsule_Boy_2__Ujuleul_Jikyeola
136,Chuldong! Super Wings 3,TV (Continuing),5.50,#11179,#15658,29,https://myanimelist.net/anime/39820/Chuldong_Super_Wings_3
137,Miru Tights,ONA,7.42,#1942,#3081,"19,147",https://myanimelist.net/anime/38935/Miru_Tights
138,Ookami to Koushinryou VR,ONA,N/A,N/A,#4034,"10,397",https://myanimelist.net/anime/38026/Ookami_to_Koushinryou_VR
139,7 Seeds,ONA,N/A,N/A,#4104,"10,044",https://myanimelist.net/anime/38735/7_Seeds
140,Ultraman,ONA,7.09,#3400,#4127,"9,939",https://myanimelist.net/anime/36871/Ultraman
141,Aggressive Retsuko (ONA) 2nd Season,ONA,N/A,N/A,#4579,"7,652",https://myanimelist.net/anime/37985/Aggressive_Retsuko_ONA_2nd_Season
142,Rilakkuma to Kaoru-san,ONA,7.84,#834,#7126,"2,469",https://myanimelist.net/anime/35777/Rilakkuma_to_Kaoru-san
143,Chokotto Anime Kemono Friends 3,ONA,6.08,#7785,#8956,"1,067",https://myanimelist.net/anime/39653/Chokotto_Anime_Kemono_Friends_3
